idlojista,lojista,cluster,mundo,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,status_lojista,taxa_aprovacao
34924,Mr Bugigangas Representacoes,Setup,Cauda Longa,1,1,1,1,163.2300,163.2300,ativo,1.00000000
12321,UniqueShop,A,Cauda Longa,6,7,6,5,879.8700,674.3200,ativo,0.76638594
15638,Bianch,A,Cauda Longa,14,14,13,13,2570.5800,2160.6800,ativo,0.84054182
15689,AF Parts,A,Cauda Longa,10,10,10,10,8223.7300,8223.7300,ativo,1.00000000
15700,LIGAÇÃO HOME CENTER,A,Cauda Longa,35,39,29,26,5613.4800,4365.6900,ativo,0.77771543
15792,KidsBaby,AA,Móveis,390,397,277,271,360752.8500,256979.3500,ativo,0.71234184
16688,Saúde Garantida,A,Cauda Longa,1,2,2,1,139.6000,139.6000,ativo,1.00000000
16934,Teixeira Textil,A,Cauda Longa,2,3,3,2,360.7000,360.7000,ativo,1.00000000
19088,Megalux,A,Cauda Longa,6,20,20,6,1132.7400,1132.7400,ativo,1.00000000
19866,AGF IMPORT,AAA,Móveis,1210,1234,1066,1049,2393902.2600,2077905.3200,ativo,0.86799923
20498,SPK Brasil,A,Cauda Longa,17,18,15,15,2726.7100,2517.7400,ativo,0.92336185
21564,BIGASHOP,AAA,Cauda Longa,308,326,232,221,65005.0400,44566.1300,ativo,0.68557961
21984,Canal Agricola,A,Cauda Longa,12,12,8,8,1343.6700,956.0200,ativo,0.71149910
27054,Storebike,AAA,Cauda Longa,257,257,197,197,344993.0000,263723.0000,ativo,0.76443000
32118,Wahl Brasil,AAA,Cauda Longa,6,6,6,6,1649.4000,1649.4000,ativo,1.00000000
32191,Eletro Ponto Com,A,Cauda Longa,59,59,35,35,31966.5200,18611.6600,ativo,0.58222353
33246,FlexBikes,A,Cauda Longa,25,25,16,16,16641.8200,10502.9300,ativo,0.63111667
33255,MEGA AUTO PARTS,A,Cauda Longa,3,6,6,3,785.9300,785.9300,ativo,1.00000000
33440,Colorear,A,Cauda Longa,5,5,5,5,417.4000,417.4000,ativo,1.00000000
36567,PRB SHOP,Setup,Setup,121,122,102,101,20080.6500,16861.4700,ativo,0.83968746
36648,CHALEUR UTILIDADES,Setup,Cauda Longa,1,1,1,1,3144.4900,3144.4900,ativo,1.00000000
37449,AlmMaq Comercial e Serviços,Setup,Cauda Longa,1,1,1,1,1812.8400,1812.8400,ativo,1.00000000
39918,MADAME YO,Setup,Cauda Longa,113,115,49,48,278779.0700,119876.9000,ativo,0.43000682
40359,MAGIC BUY,Setup,Cauda Longa,2,2,1,1,422.3800,205.9000,ativo,0.48747573
11146,Outlet Bolsas e Malas,A,Cauda Longa,8,8,4,4,1061.8800,561.5600,ativo,0.52883565
11713,RADAR DETECTORS,A,Cauda Longa,1,1,0,0,17180.2000,0.0000,ativo,0E-8
14809,Kriativa,A,Cauda Longa,1,1,1,1,90.2000,90.2000,ativo,1.00000000
15575,TP-LINK,A,Cauda Longa,15,25,23,13,2996.1800,2676.8800,ativo,0.89343097
27602,Fera Imports,A,Setup,42,45,28,26,9713.0800,5786.8500,ativo,0.59577909
31447,YOU GO,AA,Tecnologia,380,389,188,185,571361.4200,255968.8100,ativo,0.44799806
32291,Storm Nutri,A,Cauda Longa,1,1,1,1,96.0000,96.0000,ativo,1.00000000
33550,LOJA DUDA MULTI MARCAS,A,Tecnologia,11,14,10,7,2510.6700,1581.9900,ativo,0.63010670
33615,Essência Enxovais,A,Cauda Longa,99,116,89,76,17224.6300,13352.3500,ativo,0.77518937
34495,A PODEROSA,A,Cauda Longa,28,30,27,25,2813.3700,2512.4100,ativo,0.89302509
35184,SPMOVEIS,A,Setup,203,216,152,143,158932.0300,108547.5700,ativo,0.68298108
35371,IZABELGOULARTATELIE,Setup,Setup,4,9,8,3,563.0600,469.0600,ativo,0.83305509
35950,Lojas Encanto,Setup,Setup,4,5,4,3,460.8300,361.1800,ativo,0.78375974
37215,BSMONLINE,Setup,Cauda Longa,7,7,1,1,1927.4800,176.2800,ativo,0.09145620
37788,Singular Baby,Setup,Cauda Longa,1,1,1,1,1554.0000,1554.0000,ativo,1.00000000
37864,Martini Store Brasil,Setup,Cauda Longa,43,50,39,33,8735.4000,6795.4000,ativo,0.77791515
41085,CASAFILTRO LOJA,Setup,Cauda Longa,9,22,21,8,1724.0000,1610.3300,ativo,0.93406613
41141,ADEMILTON FERREIRA,Setup,Cauda Longa,5,5,2,2,272.8700,79.4000,ativo,0.29098105
11785,belezacosmeticos,A,Cauda Longa,8,11,9,7,1198.9600,919.1600,ativo,0.76663108
12360,Your Gift Comercio Eletronico EIRELI,AAA,Cauda Longa,198,228,161,131,106811.0000,64180.9400,ativo,0.60088324
26272,OrganizaTop,A,Cauda Longa,15,22,20,14,3588.6800,3474.2600,ativo,0.96811641
32245,Eletromaxi Peças,A,Cauda Longa,7,7,5,5,483.7700,370.9100,ativo,0.76670732
34555,METALFRIO,AAA,Linha Branca,8,8,2,2,29679.3600,8969.4000,ativo,0.30221002
35403,Macrophytus,A,Setup,2,3,3,2,97.5100,97.5100,ativo,1.00000000
36530,LOJA DO WERNER,Setup,Setup,5,6,5,4,560.9000,442.2100,ativo,0.78839365
37417,KADOSH TECNOLOGIA,Setup,Cauda Longa,28,28,21,21,38226.8800,28815.6600,inativo,0.75380622
37616,Dragon Store,Setup,Cauda Longa,2,2,1,1,156.6000,74.8600,ativo,0.47803321
39248,COMERCIAL SD,Setup,Cauda Longa,37,42,30,26,3689.0000,2564.1000,ativo,0.69506641
40837,NILKO TECNOLOGIA,Setup,Cauda Longa,9,11,9,7,2279.2100,1869.3100,ativo,0.82015698
10165,CASATEMA,AAA,Móveis,806,830,550,536,578415.1600,355223.0500,ativo,0.61413164
13975,Inova Móveis,A,Móveis,36,36,20,20,45388.9900,24362.9900,ativo,0.53675991
17466,Estampas Criativas,A,Cauda Longa,1,1,0,0,100.7900,0.0000,ativo,0E-8
19091,Zanline,A,Cauda Longa,263,290,236,212,33036.7100,27343.1000,ativo,0.82765808
20349,REX PET CENTER,A,Cauda Longa,5,10,0,0,970.1100,0.0000,ativo,0E-8
21047,Inova Ink,A,Tecnologia,13,14,9,8,2546.7000,1580.0000,ativo,0.62041073
24943,Vivance Lar,AA,Móveis,618,627,399,392,301831.1300,189251.9600,ativo,0.62701273
25496,Ditudotem,AAA,Cauda Longa,47,54,45,38,7346.8100,5914.1300,ativo,0.80499292
33727,E-COMMERTY TECNOLOGIAS,A,Cauda Longa,3,3,3,3,2365.4500,2365.4500,ativo,1.00000000
35926,sacolaocom,A,Setup,49,53,31,29,10924.5300,5041.2500,ativo,0.46146150
36226,RBC GLobal Business,Setup,Cauda Longa,30,32,23,21,3478.8600,2562.9700,ativo,0.73672697
36600,Silva empreendimentos,Setup,Cauda Longa,4,4,3,3,449.4200,332.6400,ativo,0.74015398
37135,REBUSCADO,Setup,Cauda Longa,12,13,12,11,1059.1500,977.7400,ativo,0.92313648
37551,Studio Nathalia Bessa,Setup,Cauda Longa,3,4,3,2,131.6900,87.2400,ativo,0.66246488
37624,Doce Beleza Cosméticos,Setup,Cauda Longa,1,1,0,0,96.7700,0.0000,ativo,0E-8
10839,Kids e Cia,A,Cauda Longa,1,1,1,1,328.9000,328.9000,ativo,1.00000000
14826,Abrakadabra,A,Cauda Longa,17,28,14,12,1356.0900,961.6400,ativo,0.70912698
15010,FARMAVIVER,A,Cauda Longa,63,83,44,33,4925.5000,2906.9800,ativo,0.59018983
16513,Owl Sports,A,Cauda Longa,12,13,9,9,2777.0000,2076.5800,ativo,0.74777818
18620,Força Ideal,A,Cauda Longa,29,51,29,13,1505.7300,967.4000,ativo,0.64247906
19997,Copa Verde Madeiras,A,Cauda Longa,49,82,39,27,50746.2700,23709.9100,ativo,0.46722468
22671,LOI BRASIL,A,Cauda Longa,192,203,122,115,95596.1700,55681.7100,ativo,0.58246800
31453,Loja Karamelada,A,Móveis,1,1,1,1,680.0700,680.0700,ativo,1.00000000
31552,Especialista em Ofertas,A,Cauda Longa,21,24,14,12,7112.5900,4272.8600,ativo,0.60074600
31568,Super Importadora,A,Tecnologia,23,23,10,10,82213.3000,14333.3000,ativo,0.17434284
31618,Bestline,A,Cauda Longa,99,109,86,77,10276.3700,7826.7600,ativo,0.76162692
32745,SOLLUZ CENTER SHOP,A,Cauda Longa,2,2,2,2,1900.0700,1900.0700,inativo,1.00000000
34037,MUNDIAL ACABAMENTOS,A,Cauda Longa,14,15,15,14,3837.1800,3837.1800,ativo,1.00000000
34479,TECNONLINE,A,Tecnologia,65,71,29,27,30835.4500,16465.9200,ativo,0.53399318
35627,CONSULTOR EDITORIAL,Setup,Setup,1,2,2,1,185.2000,185.2000,ativo,1.00000000
36034,ESHOP,Setup,Setup,5,5,5,5,590.5600,590.5600,ativo,1.00000000
36239,FERPAM,Setup,Cauda Longa,11,11,7,7,6160.3100,4117.6000,ativo,0.66840792
36997,RES MOVEIS,Setup,Cauda Longa,69,74,60,55,21441.4700,17174.6400,ativo,0.80100105
42592,TETE VEST PE,Setup,Cauda Longa,4,4,2,2,243.2600,141.5000,ativo,0.58168215
15238,Progressiva na Web,A,Cauda Longa,131,176,118,88,13849.6500,8696.8800,ativo,0.62794944
17419,OKAY SHOP,A,Cauda Longa,241,302,196,157,32171.6500,21663.3800,ativo,0.67336863
18565,Hidroviva,A,Cauda Longa,1,1,0,0,1444.1900,0.0000,ativo,0E-8
22327,ESTÉTICA PRÓ,A,Cauda Longa,3,3,1,1,264.0800,86.9700,ativo,0.32933202
32175,Mafer Equipamentos,A,Linha Branca,1,1,1,1,2830.8600,2830.8600,ativo,1.00000000
32693,SPINWAY,A,Cauda Longa,8,14,14,8,1998.6100,1998.6100,ativo,1.00000000
32829,Loja CPAPS,A,Cauda Longa,5,5,4,4,14638.9600,12076.2600,ativo,0.82493975
33981,ALPHA SHOP,A,Cauda Longa,5,14,14,5,556.5100,556.5100,inativo,1.00000000
34117,BRASCAM,A,Cauda Longa,6,6,6,6,4138.3000,4138.3000,ativo,1.00000000
34503,DECO CASA,A,Móveis,39,40,30,29,31624.5000,20805.5000,ativo,0.65789182
34791,UAITEM,AA,Tecnologia,288,308,204,188,337953.8100,166522.0700,ativo,0.49273618
36213,Global Revendas,Setup,Cauda Longa,1,1,1,1,123.3300,123.3300,ativo,1.00000000
37488,PiftPaft,Setup,Cauda Longa,6,6,5,5,430.7600,337.7700,ativo,0.78412573
40065,Nosso Mercado,Setup,Cauda Longa,5,6,6,5,711.0400,711.0400,ativo,1.00000000
41104,SeoAgro,Setup,Cauda Longa,1,1,1,1,230.8000,230.8000,ativo,1.00000000
41864,FOX,Setup,Cauda Longa,1,1,1,1,65.0000,65.0000,ativo,1.00000000
43511,PAPEL MACHÊ,Setup,Cauda Longa,1,1,1,1,200.2000,200.2000,ativo,1.00000000
10374,Allodi,A,Cauda Longa,39,54,39,27,3561.2100,2347.6000,ativo,0.65921414
10411,ElanTrade,AAA,Cauda Longa,30,35,22,19,33186.3200,20921.0600,ativo,0.63041217
10501,Print Loja,A,Tecnologia,7,7,7,7,310.0500,310.0500,ativo,1.00000000
14006,Kits e Gifts,A,Cauda Longa,4,4,4,4,902.9900,902.9900,ativo,1.00000000
14008,Ink Printer,A,Cauda Longa,42,60,46,31,2937.2700,2087.8300,ativo,0.71080629
14080,Sollus,AAA,Cauda Longa,1,1,1,1,61.0400,61.0400,ativo,1.00000000
14403,Hardbox,A,Cauda Longa,13,18,11,8,1368.0200,789.5900,ativo,0.57717723
15247,Papel na Parede,A,Cauda Longa,1,1,0,0,177.8000,0.0000,ativo,0E-8
15797,Gamemart,A,Cauda Longa,1,1,0,0,131.3000,0.0000,ativo,0E-8
16541,Shop UD,A,Cauda Longa,145,162,117,102,8295.5400,6079.1500,ativo,0.73282149
17362,Majuss,A,Cauda Longa,21,22,19,18,1473.0400,1283.8000,ativo,0.87153098
22083,BEST SALE SHOP,A,Tecnologia,194,208,126,116,67635.0600,34397.4400,ativo,0.50857410
31491,BRAVISEG,A,Cauda Longa,1,2,2,1,74.8000,74.8000,ativo,1.00000000
33004,WILELETRONICOS,A,Tecnologia,29,36,18,15,3715.5800,1844.7700,ativo,0.49649584
34333,CLOUD TOYS,A,Cauda Longa,27,27,22,22,3489.6200,2599.7600,ativo,0.74499802
35183,ANUSHA,Setup,Setup,1,1,0,0,1007.0500,0.0000,ativo,0E-8
35541,LA VIE DE SOPHIE,Setup,Cauda Longa,10,13,10,7,1027.0500,782.1000,ativo,0.76150139
36208,ARGENT CRYSTAL,Setup,Setup,3,4,1,1,538.6100,162.4000,ativo,0.30151687
36223,Amlar bebidas alcoolicas,Setup,Cauda Longa,1,1,0,0,162.9700,0.0000,ativo,0E-8
36438,Shopping da Acupuntura,Setup,Cauda Longa,2,2,1,1,644.2800,313.7400,ativo,0.48696219
36738,Angeloni,Setup,Cauda Longa,218,233,167,157,245770.5200,190944.8500,inativo,0.77692333
36888,VANESSA COSMETICOS,Setup,Cauda Longa,16,17,10,10,2803.0000,1592.2000,ativo,0.56803425
37053,Boi Eletro,Setup,Cauda Longa,85,90,64,59,12812.5500,9080.9200,ativo,0.70875197
37505,BIG BABY STORE,Setup,Cauda Longa,4,4,3,3,1380.4600,1190.3700,ativo,0.86229952
40240,VEZARO CAR AUTO PECAS,Setup,Cauda Longa,3,3,1,1,713.9000,124.7600,ativo,0.17475837
14685,PR Baby,A,Móveis,100,100,62,62,81358.8000,46323.9000,ativo,0.56937787
15325,Lojas Passold,A,Cauda Longa,10,10,3,3,2417.6100,543.2100,ativo,0.22468885
17062,Salla,A,Cauda Longa,9,10,10,9,1887.3400,1887.3400,ativo,1.00000000
19618,On Store,A,Cauda Longa,1,1,1,1,57.1000,57.1000,ativo,1.00000000
26384,GALA ENXOVAIS,A,Cauda Longa,7,7,5,5,927.8700,672.8200,ativo,0.72512313
31740,Kioski Digital,A,Cauda Longa,271,274,183,180,57711.5300,37969.7600,ativo,0.65792330
33714,Style Brazil,A,Cauda Longa,38,42,32,31,6350.2300,4713.0000,ativo,0.74217784
34482,IMPERIAL BABY,A,Cauda Longa,7,7,4,4,1180.8000,599.9400,ativo,0.50807927
36135,Uberparts,Setup,Setup,7,7,4,4,5272.8600,3410.6600,ativo,0.64683303
37789,Shoppingnet,Setup,Cauda Longa,1,1,1,1,50.2000,50.2000,ativo,1.00000000
38322,Trama Original Loja,Setup,Cauda Longa,8,8,6,6,9617.0000,8189.0000,ativo,0.85151295
40323,WEBSIZE COMMERCE,Setup,Cauda Longa,2,2,2,2,836.0000,836.0000,ativo,1.00000000
43523,GRAMMEL COMERCIAL LTDA,Setup,Cauda Longa,18,20,16,14,3144.2100,2203.9100,ativo,0.70094237
15231,O SAPO E A PRINCESA,A,Cauda Longa,6,7,5,4,1114.1200,447.8100,ativo,0.40194055
16333,China Print,A,Tecnologia,7,7,7,7,1584.2500,1584.2500,ativo,1.00000000
16761,Cocina Al Gusto,A,Linha Branca,40,40,20,20,124653.6000,70025.8000,ativo,0.56176316
17177,Sócriativos,A,Cauda Longa,4,4,2,2,788.1000,473.3000,ativo,0.60055830
20190,NENEKIDS,A,Cauda Longa,10,11,9,8,588.7700,498.2300,ativo,0.84622178
21606,Casa 3 Irmãos,A,Cauda Longa,11,12,11,10,2128.2000,2064.4000,ativo,0.97002161
23019,LM Informatica,A,Tecnologia,5,5,4,4,1319.8700,1086.1300,ativo,0.82290680
25635,rochi empresarial,A,Cauda Longa,38,40,31,29,6799.9300,5144.3200,ativo,0.75652543
30827,Dias Bike,A,Cauda Longa,7,7,4,4,2913.5000,1331.2600,ativo,0.45692809
31443,Modernelar,A,Cauda Longa,15,16,8,7,1983.7700,907.0300,ativo,0.45722538
32659,Griff Inox,A,Cauda Longa,7,11,6,4,12593.8000,6419.3000,ativo,0.50971907
36457,Shoptelbras,Setup,Cauda Longa,23,35,27,17,10951.2800,9765.2800,ativo,0.89170216
36712,Aci informatica e variedades,Setup,Cauda Longa,30,30,27,27,3978.2000,3652.3000,ativo,0.91807853
46094,C & K LOCACAO DE ROUPAS LTDA,Setup,Cauda Longa,1,1,1,1,20.6900,20.6900,ativo,1.00000000
10106,DOURAL,AA,Cauda Longa,28,41,36,24,3594.4300,2967.4500,ativo,0.82556901
14082,Primo Pet,A,Cauda Longa,54,95,89,52,10172.3800,9756.7600,ativo,0.95914230
14430,NetMobilia,A,Móveis,92,96,66,63,41962.4800,28159.0000,ativo,0.67105185
16011,Super Copa,A,Tecnologia,4,4,1,1,2843.5200,743.8200,ativo,0.26158423
19709,Eletrônica Santana,A,Tecnologia,249,338,263,194,62809.1300,45368.2600,ativo,0.72231951
27091,Vila do Churrasco,A,Cauda Longa,4,4,4,4,2539.6600,2539.6600,ativo,1.00000000
30090,MARMELO DECOR,A,Cauda Longa,1,2,2,1,441.5800,441.5800,ativo,1.00000000
31044,Maça Verde Baby,AAA,Cauda Longa,503,518,364,355,338150.1400,230914.7800,ativo,0.68287649
31953,R.L.M Representações,A,Cauda Longa,69,125,103,54,16953.0900,13091.9700,ativo,0.77224683
32187,Pense Fitness,A,Cauda Longa,7,8,5,4,215.1700,106.8800,ativo,0.49672352
32734,Castelini Shop,A,Cauda Longa,2,2,0,0,427.6000,0.0000,ativo,0E-8
32742,Loja Ferragens Floresta,AAA,Cauda Longa,112,173,145,94,40763.8800,33670.9500,ativo,0.82599963
32799,MATERNIDADE AMIGA,A,Cauda Longa,10,10,7,7,975.7300,590.0300,ativo,0.60470622
34264,Arbelis Calçados,Setup,Setup,1,1,0,0,57.3500,0.0000,ativo,0E-8
34986,DELEST,A,Cauda Longa,55,55,42,42,6584.4200,5059.3900,ativo,0.76838810
35156,citron instrumentos musicais,A,Setup,44,44,33,33,60149.1400,43014.0600,ativo,0.71512344
35216,HDRSHOP,A,Setup,36,36,27,27,9087.1700,6101.7200,ativo,0.67146537
35424,RELAXAR E MEDITAR,Setup,Setup,6,10,10,6,671.2500,671.2500,ativo,1.00000000
36662,Obra Smart,Setup,Cauda Longa,12,12,9,9,5103.5000,3874.7100,ativo,0.75922602
37454,Lica Utilidades Pro Lar,Setup,Cauda Longa,1,1,1,1,138.7000,138.7000,ativo,1.00000000
37667,BRAAUTOMOTIVOS,Setup,Cauda Longa,1,1,1,1,62.5400,62.5400,ativo,1.00000000
13627,COMERCIAL SÃO PAULO,A,Cauda Longa,3,3,3,3,1361.7500,1361.7500,inativo,1.00000000
13728,Paulo Cezar Enxovais,AAA,Cauda Longa,765,1010,698,522,93726.6500,64947.8600,ativo,0.69294976
14659,Galvic,A,Cauda Longa,7,9,5,3,768.2000,369.0000,ativo,0.48034366
14947,Magazine Kubo,A,Cauda Longa,3,3,3,3,225.2000,225.2000,ativo,1.00000000
15653,Pesque Fácil,A,Cauda Longa,24,26,21,19,4165.0900,2741.1500,ativo,0.65812503
16522,Defar,A,Cauda Longa,1,1,1,1,2598.6200,2598.6200,ativo,1.00000000
17414,Foca na Moda,A,Cauda Longa,6,6,1,1,1051.1500,57.3900,ativo,0.05459735
24272,Prime In Headphones,A,Cauda Longa,62,65,44,42,28378.8800,14736.1000,ativo,0.51926292
27986,Médicy Equipamentos Médicos,AA,Cauda Longa,18,37,30,16,4313.2900,3995.0800,ativo,0.92622569
32703,PLACE2BE,Setup,Setup,5,5,2,2,651.8700,332.5000,ativo,0.51007103
32956,Enxovais Casa,A,Cauda Longa,7,7,6,6,750.9300,683.3800,ativo,0.91004488
33876,SWELLMARK,A,Tecnologia,12,12,9,9,1977.3000,1540.8900,ativo,0.77928994
34991,VEMCAPNEUS E RODAS,A,Setup,33,33,13,13,69838.8000,24071.4000,ativo,0.34467087
35313,EDIN,Setup,Setup,5,7,5,3,1119.5700,920.5000,ativo,0.82219066
35475,CASA VERSATIL,A,Setup,12,12,9,9,1467.9100,1116.4600,ativo,0.76057796
36816,RUTIS MAGAZINNE,Setup,Cauda Longa,4,4,4,4,2141.9000,2141.9000,ativo,1.00000000
37064,NATUREHERB,Setup,Cauda Longa,11,16,15,10,2296.6400,2123.6500,ativo,0.92467692
37103,Profissional Beleza,Setup,Cauda Longa,21,36,12,6,4183.9800,1086.9000,ativo,0.25977658
37164,CASA DA VASSOURA,Setup,Cauda Longa,4,5,4,3,245.9600,198.5100,ativo,0.80708245
37190,CERRADO BIKE SHOP,Setup,Cauda Longa,23,25,15,13,21855.9000,10168.8000,ativo,0.46526567
37208,R C SONO LEVE,Setup,Cauda Longa,35,36,28,27,22305.0000,17757.0000,ativo,0.79609953
37547,EKXX IMPORTACAO,Setup,Cauda Longa,254,283,174,160,45156.9000,26643.4900,ativo,0.59002035
39843,Lautz Materiais para Acupuntura,Setup,Cauda Longa,2,2,2,2,358.1000,358.1000,ativo,1.00000000
40990,MOLDUCLASS,Setup,Cauda Longa,18,33,29,16,1299.1000,1111.6000,ativo,0.85566931
47940,EJM COMERCIO E ARBITRAGENS ESPORTIVAS LTDA,Setup,Cauda Longa,1,1,1,1,118.2000,118.2000,ativo,1.00000000
10909,General Car,A,Cauda Longa,49,49,35,35,14184.1300,9984.1100,ativo,0.70389301
11356,Ziko Shop,A,Cauda Longa,3,3,3,3,250.2800,250.2800,ativo,1.00000000
15301,Multiloja,AAA,Móveis,14994,16005,10789,10130,8534067.8000,5473566.9500,ativo,0.64137842
16548,DouGShoP,A,Tecnologia,23,24,17,16,3428.6300,2730.8600,ativo,0.79648723
17971,CONSUL,AAA,Linha Branca,4745,4871,3385,3297,7934517.3700,5349740.8500,ativo,0.67423645
21611,Maquinatec,A,Cauda Longa,4,4,3,3,8389.9500,5901.7000,ativo,0.70342493
22460,ENROLADO TECIDOS,A,Cauda Longa,9,25,20,7,868.8700,659.5800,ativo,0.75912392
27825,Four Points Decor,Setup,Cauda Longa,2,2,1,1,113.4000,51.7000,ativo,0.45590829
28375,Aksa Cosmeticos,A,Cauda Longa,6,7,5,4,2308.9000,1415.7000,ativo,0.61314912
29014,Lojas Beolar,A,Móveis,21,22,19,18,26609.0000,21816.0000,ativo,0.81987298
31327,RBM WEBSHOP,A,Cauda Longa,9,9,2,2,2773.8900,606.0600,ativo,0.21848739
32107,Monstrão Suplementos,A,Cauda Longa,2,4,4,2,565.1500,565.1500,ativo,1.00000000
32947,Brinkmais,A,Cauda Longa,171,186,133,121,21438.5500,15056.9700,ativo,0.70233155
33038,Ric Mic,A,Cauda Longa,7,7,5,5,446.3000,322.4000,ativo,0.72238405
33127,Smart Market PlenaVie,A,Setup,9,16,16,9,753.0200,753.0200,ativo,1.00000000
33644,MARIANO ART,A,Móveis,137,157,113,98,53507.7800,39879.6200,ativo,0.74530508
34139,DESFIACOCO,A,Móveis,3,5,4,2,1198.0000,998.0000,ativo,0.83305509
34741,KAYDORA BRINQUEDOS,A,Cauda Longa,3,3,3,3,538.3400,538.3400,ativo,1.00000000
34829,FULLELETRONICA,A,Cauda Longa,1,1,1,1,392.7000,392.7000,ativo,1.00000000
35281,Compre Certo Online,Setup,Setup,2,2,2,2,97.4000,97.4000,ativo,1.00000000
37311,FLOR DE LOTUS VARIEDADES,Setup,Cauda Longa,1,1,1,1,57.4000,57.4000,ativo,1.00000000
40896,ROSELIARTLUZ,Setup,Cauda Longa,1,1,1,1,159.0000,159.0000,inativo,1.00000000
41702,ELETTRO,Setup,Cauda Longa,12,13,13,12,3773.7800,3773.7800,ativo,1.00000000
43086,TRECOS DE COZINHA,Setup,Cauda Longa,1,1,1,1,89.3000,89.3000,ativo,1.00000000
44548,MALU PETS,Setup,Cauda Longa,7,8,8,7,1493.0800,1493.0800,ativo,1.00000000
47090,AASG CONSULTORIA,Setup,Cauda Longa,7,7,7,7,538.5300,538.5300,ativo,1.00000000
11669,VGSHOP,AAA,Linha Branca,4669,5044,3918,3595,1491174.6100,1108342.5100,ativo,0.74326809
14471,CADENCE,AAA,Linha Branca,1839,1991,1552,1429,519053.9100,395906.9000,ativo,0.76274717
22210,Nenê Land,A,Cauda Longa,2,2,2,2,207.3200,207.3200,ativo,1.00000000
23633,99Lubes,A,Cauda Longa,2,6,6,2,172.7000,172.7000,ativo,1.00000000
27838,OLoucopor,A,Cauda Longa,8,8,6,6,7292.3900,4684.5900,ativo,0.64239433
32343,Favorita Digital,A,Cauda Longa,27,27,19,19,4807.8200,3710.9400,ativo,0.77185502
33393,BGPLASTICOS,A,Cauda Longa,12,50,48,10,5596.4000,5200.4200,ativo,0.92924380
34007,LIPELAR,A,Móveis,1,1,1,1,259.9000,259.9000,ativo,1.00000000
35539,DOCE LAR DECORAÇÃO,Setup,Setup,137,146,107,101,102311.3000,79447.2000,ativo,0.77652420
36379,Pau Brasil Produtos e Servicos,Setup,Cauda Longa,1,1,1,1,67.2700,67.2700,ativo,1.00000000
36792,ROBSILK ARMARINHOS E BRINDES EIRELI,Setup,Cauda Longa,1,1,1,1,44.3900,44.3900,ativo,1.00000000
36922,FPSILVA SHOP,Setup,Cauda Longa,8,8,4,4,4432.4300,2933.6000,ativo,0.66184914
37587,IMPORTS ELETRONICOS E ACESSORIOS,Setup,Cauda Longa,441,456,265,257,315566.7800,176621.3400,ativo,0.55969561
37715,JOB DISTRIBUIDORA,Setup,Cauda Longa,1,1,1,1,76.8000,76.8000,inativo,1.00000000
41272,O FIGURINHA,Setup,Cauda Longa,3,3,2,2,145.5300,103.1400,ativo,0.70871985
44574,CHAMA DOS AQUECEDORES,Setup,Cauda Longa,3,3,2,2,1607.3000,1075.5000,ativo,0.66913457
11449,Mais de Casa,A,Móveis,59,65,38,36,45828.8100,28284.6800,ativo,0.61718120
13656,LCG ELETRO,A,Cauda Longa,383,486,346,273,78463.9100,52241.7600,ativo,0.66580623
14748,Home Point,AAA,Linha Branca,121,128,68,64,88459.3900,12042.3300,ativo,0.13613399
16962,Verside,A,Cauda Longa,115,116,97,96,33016.0400,27962.5300,ativo,0.84693773
18013,Sua casa decor,A,Cauda Longa,18,57,41,15,2098.5300,1609.8300,ativo,0.76712270
19122,ORALBOX,A,Cauda Longa,1,1,1,1,628.2000,628.2000,ativo,1.00000000
23165,Lingeriecom,Setup,Setup,6,11,10,5,717.4500,630.5900,ativo,0.87893233
24006,Supernova,A,Cauda Longa,24,24,20,20,1726.4500,1440.4600,ativo,0.83434794
29499,Vitrine Direta,AAA,Cauda Longa,582,601,476,459,296939.3900,224064.7500,ativo,0.75458076
31643,Livraria Kadu,A,Cauda Longa,4,4,3,3,280.0300,169.2200,ativo,0.60429240
31915,SHOP JM,AA,Móveis,641,670,430,413,506473.1100,311647.4600,ativo,0.61532874
32415,MANI D'ORO,A,Cauda Longa,3,5,5,3,314.4000,314.4000,ativo,1.00000000
32717,MEDSAM,A,Cauda Longa,15,15,15,15,5775.4400,5775.4400,ativo,1.00000000
33181,Harmonia Produtos,A,Cauda Longa,166,226,168,125,28414.9300,21060.9600,ativo,0.74119345
34138,PARAISO DO LAR,A,Cauda Longa,7,17,4,4,549.5500,288.7900,ativo,0.52550268
34900,Net Eletrica,A,Setup,12,33,19,7,1256.6400,942.4600,ativo,0.74998408
35387,ZAIRON COMPANY,A,Setup,3,3,2,2,328.7200,250.1500,ativo,0.76098199
35685,JAMM,Setup,Setup,3,3,2,2,393.7300,241.4700,ativo,0.61328829
36500,Satyro Express,Setup,Cauda Longa,3,3,1,1,140.6100,49.4100,ativo,0.35139748
37273,ROCHEDO,Setup,Cauda Longa,155,185,159,135,24622.0200,20265.1100,ativo,0.82304823
37552,FLASH MUSIC,Setup,Cauda Longa,17,18,14,13,4258.0200,3464.9300,ativo,0.81374207
37745,Lojas Giozzet,Setup,Cauda Longa,25,26,20,19,2698.6100,1947.8100,ativo,0.72178270
38320,ANEXO SHOP,Setup,Cauda Longa,6,6,2,2,2967.7600,603.4900,ativo,0.20334865
